id,title,subTitle,start,color,img,desc,descImg,yt,twitter,null
1,キズナアイ,upd8,2018-06-30,pink,,[ღあなたと繋がりたいღ] （自称）世界初バーチャルYouTuberキズナアイです(o・v・o)♪,,https://www.youtube.com/channel/UC4YaOt1yT-ZeyB0OmxHgolA,aichan_nel,
2,呉葉@バーチャル転移少女,【Poison Lily】,2018-03-09,#3ADF00,images/VtuberDebut/Vtuber/2_60.jpg,「人類美少女計画」に賛同したところ異世界転移してしまったバーチャル美少女。しかし、その異世界は既に崩壊していた為に、更に転移魔法を授かり、世界を渡り歩き、崩壊した異世界を復興させようと奮闘している。,images/VtuberDebut/Vtuber/2_150.jpg,https://www.youtube.com/channel/UCoHcTDlZhs8IWnbM3aRekRA,,
3,勇気ちひろ,にじさんじ,2018-07-16,#4000FF,,,,,,
4,宇志海いちご,にじさんじ,2018-04-15,#0B3B24,,,,,,
5,あっくん大魔王,,2018-04-23,#01DFD7,,,,,,
6,ときのそら,ホロライブ,2018-05-15,#DF3A01,,,,,,
7,森中花咲,にじさんじ,2018-05-23,#01A9DB,,,,,,
8,ロボ子,ホロライブ,2018-05-23,#DF01D7,,,,,,
9,富士葵,株式会社Smarprise,2018-06-18,#CC2EFA,,,,https://www.youtube.com/channel/UC3Ruo_5doyu514PesWGvCAg,fuji_aoi_0618,
10,織田信姫,upd8,2018-06-23,#00BFFF,,,,,,
11,ピーナッツくん,,2018-07-02,#BF00FF,,,,,,
12,東雲めぐ,,2018-04-06,#FFFF00,,,,,,
13,のらきゃっと,,2018-04-15,#585858,,,,,,
14,阿古江レイスケ,,2018-07-05,#B45F04,,,,,,
15,藍原八千代,,2018-07-05,#01A9DB,,,,,,
16,叶,にじさんじゲーマーズ,2018-07-07,#FFBF00,,,,,,
17,渋谷ハル,,2018-07-07,#DF3A01,,,,,,
18,カルロ・ピノ,アイドル部（.LIVE),2018-07-07,#086A87,,,,,,
19,アズマリム,,2018-07-07,#B45F04,,,,,,
20,パンディ,upd8,2018-07-07,#BF00FF,,,,,,
21,ファイ博士,,2018-07-07,#a5a5a5,,,,,,
22,クーテトラ,,2018-07-07,#FFBF00,,,,,,
23,ナイア,,2018-07-07,#04B404,,,,,,
24,星咲ちあ,,2018-05-25,#8904B1,,,,,,
25,内藤メア,,2018-07-13,#04B4AE,,,,,,
27,由持もに,元アマリリス組,2018-06-29,#BF00FF,,,,,,
28,雛瀬さくら,元アマリリス組,2018-11-30,#01DF01,,,,,,
29,姫野裕子,元アマリリス組,2018-10-12,#DF01D7,,,,,,
30,四ツ辻まよい,元アマリリス組,2018-03-21,#BF00FF,,,,,,
31,ルル・ルチカ,元アマリリス組,2018-09-26,#04B4AE,,,,,,
32,みるくぷりん,元アマリリス組,2018-01-25,#00FFFF,,,,,,
33,理原ひなり,元アマリリス組,2018-08-30,#00BFFF,,,,,,
34,姚玲蘭,元アマリリス組,2018-07-28,#B43104,,,,,,
35,ルリカ・レインウォーター,元アマリリス組,2018-12-24,#DF013A,,,,,,
36,電脳少女シロ,,2018-08-12,#0B3B2E,,,,,,
39,渋谷ハジメ,にじさんじ,2018-05-05,#0040FF,,,,,,
40,鈴谷アキ,にじさんじ,2018-11-28,#2A1B0A,,,,,,
41,モイラ,にじさんじ,2018-02-10,#01DFA5,,,,,,
42,夕陽リリ,にじさんじ,2018-01-21,#B45F04,,,,,,
43,伏見ガク,にじさんじ,2018-10-05,#3A01DF,,,,,,
44,ギルザレンⅢ世,にじさんじ,2018-06-06,#DF01D7,,,,,,
45,剣持刀也,にじさんじ,2018-08-22,#04B4AE,,,,,,
46,名伽尾アズマ,にじさんじSEEDs,2018-08-22,#FF8000,,,,,,
47,轟京子,にじさんじSEEDs,2018-12-22,#FACC2E,,,,,,
48,花畑チャイカ,にじさんじSEEDs,2018-06-27,#585858,,,,,,
49,安土桃,にじさんじSEEDs,2018-03-03,#FF8000,,,,,,
50,鈴木勝,にじさんじSEEDs,2018-08-09,#04B4AE,,,,,,
51,緑仙,にじさんじSEEDs,2018-04-16,#2ECCFA,,,,,,
52,ぽんぽこ,,,#5882FA,,,,,,
53,キランユウ,,,#00FFFF,,,,,,
54,Icotsu,,,#01DF3A,,,,,,
56,かしこまり,upd8,,#DBA901,,,,,,
57,ちゆ12歳,,,#DBA901,,,,,,
58,響木アオ,upd8,2018-01-07,#088A08,,,,,,
59,薬袋カルテ,,2018-02-14,#424242,,,,,,
60,たかじんちゃん,,,#B45F04,,,,,,
61,猫宮ひなた,ENTUM,,#D7DF01,,,,,,
62,イヌージョン,,,#FF8000,,,,,,
64,パゲ美,,,#B45F04,,,,,,
65,八月二雪,,,#01A9DB,,,,,,
66,はちこ,,2018-08-05,#DF3A01,,,,,,
67,動く城のフィオ,,2018-10-04,#0174DF,,,,,,
68,虹河ラキ,,2018-08-03,#31B404,,,,,,
69,はちゃち,,2018-12-08,#01DF3A,,,,,,
70,春日部つくし,,2018-10-31,#00FF80,,,,,,
72,鳩羽つぐ,,,#BF00FF,,,,,,
73,海月ねう,upd8,2018-10-28,#FFBF00,,,,,,
75,ミソシタ,,,#0080FF,,,,,,
76,おめがシスターズ,,2018-11-05,#8000FF,,,,,,
77,ゲーム部,,,#6E6E6E,,,,,,
78,宇宙怪獣アンチン,,,#04B431,,,,,,
79,小山内めい,,2018-05-05,#6E6E6E,,,,,,
80,物述有栖,にじさんじ,2018-11-16,#151515,,,,,,
81,名取さな,,2018-03-07,#4C0B5F,,,,,,
83,田中ヒメ,,,#151515,,,,,,
84,日雇礼子,,,#0404B4,,,,,,
85,メリーミルク,,,#8A0886,,,,,,
86,ハッカドール,,,#088A08,,,,,,
87,フェルミ,真空管ドールズ,,#0489B1,,,,,,
88,万楽えね,,2018-07-21,#58FAD0,,,,,,
89,夏色まつり,ホロライブ,2018-07-22,#8904B1,,,,,,
90,れらたん,,2018-07-26,#FE2E9A,,,,,,
92,琴吹ゆめ,,2018-07-31,#FFBF00,,,,,,
93,神楽めあ,,2018-08-02,#DF01D7,,,,,,
94,闇妖精ティー,,2018-08-03,#6E6E6E,,,,,,
95,オボロリュウ,,2018-08-03,#FE9A2E,,,,,,
96,アクネッティ,,2018-08-04,#848484,,,,,,
97,朝ノ三姉妹,,2018-08-04,#FA8258,,,,,,
98,奈日抽ねね,,2018-07-31,#DA81F5,,,,,,
99,ばあちゃる,,2018-08-09,#81F7D8,,,,,,
100,道明寺晴翔,ゲーム部,2018-08-10,#FE9A2E,,,,,,
101,もやし,,2018-08-10,#FE2E9A,,,,,,
102,周防パトラ,ハニーストラップ,2018-08-10,#CC2EFA,,,,,,
103,赤井はあと,ホロライブ,2018-08-10,#0174DF,,,,,,
104,蟒蛇ミキ,,2018-08-10,#610B5E,,,,,,
105,星野光,,2018-08-13,#8A4B08,,,,,,
106,ネア,,2018-08-13,#B40404,,,,,,
107,コーサカ,,2018-08-16,#8A0886,,,,,,
108,さえきやひろ,,2018-08-16,#FF8000,,,,,,
109,猫乃木もち,アイドル部（.LIVE),2018-08-18,#04B4AE,,,,,,
110,ドーラ,,2018-08-19,#2ECCFA,,,,,,
111,宇森ひなこ,あにまーれ,2018-08-21,#5882FA,,,,,,
112,森永みう,,2018-08-21,#00FFFF,,,,,,
115,八重沢なとり,アイドル部（.LIVE),2018-08-25,#088A08,,,,,,
116,クゥ・フラン・ゾーパー,クゥ姉、クゥ姉ちゃん、姉ちゃん、クゥちゃん、クゥ,2018-01-15,#9A1400,images/VtuberDebut/Vtuber/116_60.jpg,超JC系バーチャルYouTuber\nなんかゲームとかゲームじゃないものとかしてる,images/VtuberDebut/Vtuber/116_150.jpg,https://www.youtube.com/c/KooFranZopar?sub_confirmation=1,koo_fran_zopar,
117,仮面チューバ剛,,,#0B3B24,,,,,,
118,白藤環,えのぐ,2018-08-31,#01DFD7,,,,,,
119,織神ゆさ,,2018-09-03,#DF3A01,,,,,,
120,八朔ゆず,にじさんじSEEDs,2018-09-04,#0B243B,,,,,,
121,黒咲りん,,2018-09-05,#AEB404,,,,,,
122,おこめ,,2018-09-07,#AEB404,,,,,,
123,蒼月エリ,ハニーストラップ,2018-09-07,#0B3B39,,,,,,
124,九条紫月,,2018-09-08,#0B3B39,,,,,,
125,千草はな,,2018-09-09,#0B3B39,,,,,,
126,御来屋久遠,,2018-09-10,#01A9DB,,,,,,
127,くのいち子,,2018-09-15,#AEB404,,,,,,
128,夢咲楓,ゲーム部,2018-09-18,#FF00BF,,,,,,
129,道明寺ここあ,ゲーム部,2018-09-20,#585858,,,,,,
130,風宮まつり,,2018-09-23,#86B404,,,,,,
131,アベレージ,,2018-09-23,#01A9DB,,,,,,
132,月ノ美兎,にじさんじ,2018-09-24,#DBA901,,,,,,
133,サムズ・ボボ,,2018-09-24,#01DF74,,,,https://www.youtube.com/channel/UCTzEgqLg0xc7xKBZlT7J7wQ,thumbsbobosan,
134,ぽてち,,2018-09-27,#AEB404,,,,,,
135,金剛いろは,アイドル部（.LIVE),2018-10-06,#DF7401,,,,,,
136,シスター・クレア,にじさんじSEEDs,2018-10-04,#0080FF,,,,,,
137,YuNi,,2018-09-30,#FF00BF,,,,,,
138,ぼっちぼろまる,,2018-09-30,#0080FF,,,,,,
139,ジョー・力一,,2018-10-01,#AEB404,,,,,,
140,絶対天使くるみちゃん,,2018-10-04,#A901DB,,,,,,
141,天野ヒカリ,,2018-10-04,#0174DF,,,,,,
142,かんな,,2018-10-04,#D7DF01,,,,,,
143,稲荷くろむ,あにまーれ,2018-10-05,#D7DF01,,,,,,
144,白上フブキ,ホロライブ,2018-10-05,#00BFFF,,,,,,
145,カフェ野ゾンビ子,upd8,2018-10-09,#00BFFF,,,,,,
146,ケリン,upd8,2018-10-12,#01DF3A,,,,,,
147,出雲霞,にじさんじSEEDs,2018-10-13,#FF00FF,,,,,,
148,あさひ,,2018-10-13,#01DF3A,,,,,,
149,すーぱーそに子,,2018-10-14,#610B5E,,,,,,
150,じーえふちゃん,,2018-10-18,#8A4B08,,,,,,
151,YUA,,2018-10-18,#B40404,,,,,,
152,遠坂ユラ,,2018-10-19,#8A0886,,,,,,
153,竜胆尊,,2018-10-20,#A901DB,,,,,,
154,しゃいとううめ,,2018-10-20,#FA58F4,,,,,,
155,久宝雅,,2018-10-21,#868A08,,,,,,
156,ちくわ,,2018-10-22,#424242,,,,,,
157,バスター,,2018-10-24,#00BFFF,,,,,,
158,ウィル・ウィスタリア,,2018-10-27,#FF8000,,,,,,
159,宗谷いちか,,2018-11-01,#04B404,,,,,,
160,輝夜月,,2018-10-30,#2E2E2E,,,,,,
161,遠北千南,,2018-10-30,#04B431,,,,,,
162,白鳥天羽,,2018-10-31,#FA58F4,,,,,,
163,ヤマトイオリ,,2018-11-10,#B40404,,,,,,
164,葛葉,,2018-11-10,#086A87,,,,,,
165,日向奈央,,2018-11-10,#DF7401,,,,,,
166,笹木咲,,2018-11-11,#B45F04,,,,,,
167,日ノ隈らん,,2018-11-18,#088A08,,,,,,
168,千葉ねずみ,,2018-11-18,#9A1400,,,,,,
169,わたわた,,2018-11-18,#0B3B24,,,,,,
170,久遠シイ,,2018-11-18,#01DFD7,,,,,,
171,億里モナ,,2018-03-09,pink,,バーチャルYouTuberの 億里モナ です( *´꒳`*)❤️月.水.木.金の18:30から生放送してます😍10月から声が変わりました,,https://www.youtube.com/channel/UCZKWkTd86kW0v0T1Si5QvfA,https://twitter.com/OkuriMona,
172,雷輝アンタレス,,2018-12-01,#BF00FF,,,,,,
173,姫榊みみ,,2018-12-01,#FFBF00,,,,,,
174,湊あくあ,,2018-12-01,#0080FF,,,,,,
175,鴨見カモミ,,2018-12-04,#E2143A,,,,,,
176,百鬼あやめ,,2018-12-13,#DF7401,,,,,,
177,雪汝,,2018-12-23,#5AE413,,,,,,
178,柊椋,,2018-12-23,#66CCEF,,,,,,
179,鷹宮リオン,,2018-01-07,#4C0B5F,,,,,,
180,リタ,KMNZ,2018-01-11,#FAF9E2,,,,,,
181,Azatu,,2018-01-13,#DF4AF6,,,,,,
182,皆守ひいろ,,2018-01-16,#A3A0A1,,,,,,
183,ふぇありす,個人,2018-12-31,#ffdce8,,清楚で可憐といえば私だよね❤ *⋈…YouTube https://goo.gl/vDeC3W  *⋈…Amazon https://goo.gl/v7ztpd  *⋈…Character Design @YuzurihaP イラストは #ふぇあーと ⇒動画で使わせて頂く時があります！,,https://www.youtube.com/channel/UC2Rr7mILebYLTjd38DNNUTw,https://twitter.com/fairyschan,
184,もちひよこ,,2018-01-05,#69F680,,,,,,
185,リクビッツ,,2018-01-12,#B55068,,,,,,
186,ミディ,,2018-01-13,#B36020,,,,,,
187,アナト,,2018-01-14,#560D40,,,,,,
188,巣黒るい,,2018-01-23,#A107CF,,,,,,
189,リリー博士,,2018-01-30,#E37384,,,,,,
190,御堂カルマ,,2018-02-04,#24D45B,,,,,,
191,紗樹万咲,,2018-02-05,#9A8BE4,,,,,,
192,夜桜たま,,2018-02-10,#45E85C,,,,,,
193,風見涼,,2018-02-12,#E8684C,,,,,,
194,雨下カイト,,2018-02-14,#BA2C0B,,,,,,
195,夕顔瀬ありす,,2018-02-14,#15D2D0,,,,,,
196,青道アカト,,2018-02-24,#E0B850,,,,,,
197,ハクヤ,,2018-02-28,#2EEC9F,,,,,,
198,アイシィ・Vソリッド,,2018-03-01,#358D76,,,,,,
199,ももちもも,,2018-03-03,#67BBA7,,,,,,
200,キリン,,2018-03-07,#8EB429,,,,,,
201,女神エルミナ,,2018-03-21,#AE9A42,,,,,,
203,桜樹みりあ,,2018-03-27,#B02489,,,,,,
204,ソロ,,2018-04-01,#F8FB5E,,,,,,
205,女帝セツナ,,2018-04-02,#51D3C5,,,,,,
206,相沢澪(はちゃち),,2018-04-04,#A3FE0A,,,,,,
207,勇者ことね,,2018-04-04,#0B0644,,,,,,
208,おきゅたん,,2018-04-05,#BF3B2F,,,,,,
209,ミライアカリ,,2018-04-06,#ACED11,,,,,,
